Date,Network,Name,Sent By,Message,Clicks (Twitter),Total Reach (Twitter),Retweets (Twitter),Replies (Twitter)
2013-10-29 10:11,Twitter,@Booksforchildrn,Jake Ball,@chopchopmag We're thrilled that Chop Chop for kids is released.  What a great book for families.  See our review:  http://bit.ly/196svkG,4,659,1,0
2013-10-29 09:48,Twitter,@Booksforchildrn,Jake Ball,@ericbarclay Hi Eric.  We enjoyed Hiding Phil.  The author/illustrator role suits you well.  See our review:  http://bit.ly/19PHRcJ,0,659,0,0
2013-10-29 09:30,Twitter,@Booksforchildrn,Jake Ball,@Lehrhaupt Hi Adam.  We loved Do Not Open this Book.  Read the review here:  http://bit.ly/19PFqXB.  Please keep writing!,1,659,0,0
2013-10-28 21:17,Twitter,@Booksforchildrn,Ryan Riley,@WondrousReads Great review.  We love this author and her books.  In fact we are featuring her on our site: http://bit.ly/194mV2j,3,4782,1,0
2013-10-28 21:12,Twitter,@Booksforchildrn,Ryan Riley,@65thvictor @ArowanaFlounder We love this book so much it will be on our best of 2013 list!  http://bit.ly/19OjDja,1,0,0,0
2013-10-28 21:10,Twitter,@Booksforchildrn,Ryan Riley,@broodforthought This book is going to be on our list of best books for 2013 coming out in November.  We love it!  http://bit.ly/19OjDja,1,0,0,0
2013-10-28 15:41,Twitter,@Booksforchildrn,Jake Ball,@LaurenEMorrill We love with Meant to Be.  Definitely one we'll be recommending to our YA customers.  Keep writing!  http://bit.ly/19NOnkn,0,659,0,0
2013-10-28 15:33,Twitter,@Booksforchildrn,Jake Ball,@TimelessAlex @randomhousekids Hi Alexandra. It's no wonder why Timeless is still going strong. Our customers love it.http://www.childrensbookstore.com/shop/books/timeless-9780385738392/,0,0,0,1
2013-10-28 09:52,Twitter,@Booksforchildrn,Ryan Riley,@cristylandry We are an online bookstore that focuses on #childrensbooks.  We also promote new authors and their books.,0,0,0,1
2013-10-28 09:37,Twitter,@Booksforchildrn,Ryan Riley,@cristylandry We feature artist and provide better pricing then most stores.  Send us an email when you are ready and we will support!,0,0,0,1
2013-10-28 09:35,Twitter,@Booksforchildrn,Ryan Riley,@DanGutmanBooks Wanted to let you know that Dan Gutman is a featured author on our site: http://bit.ly/192pf9V.  We love My Weirder School!,0,659,0,1
2013-10-28 09:22,Twitter,@Booksforchildrn,Ryan Riley,@TweetBookTweet Would you mind taking a moment to review our site and let us know what you think?  http://www.childrensbookstore.com/ #childrensbooks,0,659,0,0
2013-10-28 09:18,Twitter,@Booksforchildrn,Ryan Riley,@twigstories We love Twig Stories and are offering a discount on the series.  Can't wait for Leaf & Echo Park! http://bit.ly/19MZvxJ,1,1598,1,1
2013-10-28 09:05,Twitter,@Booksforchildrn,Ryan Riley,@cristylandry Thanks for the follow.  Let us know if there is anything we can do to help promote your new books.  Good luck!,0,0,0,1
2013-10-28 09:05,Twitter,@Booksforchildrn,Ryan Riley,@Mothernova Thanks for the follow.  Let us know if there is anything you need.,0,0,0,1
2013-10-28 09:04,Twitter,@Booksforchildrn,Ryan Riley,@WoollyPurls Thanks for the follow.  Let us know if there is anything we can do to help.,0,0,0,1
