Date,New Fans,Unlikes,Page Impressions,Page Impressions (Paid),Page Impressions (Viral),Page Impressions (Organic),Page Impressions (Page Post),Page Impressions (Fan),Stories Created,Story Creators,Stories (Page Post),Stories (Fan)
2013-10-13,0,0,25,0,5,19,0,5,0,0,0,0
2013-10-14,0,0,87,0,2,77,0,2,0,0,0,0
2013-10-15,0,0,56,0,4,47,0,4,0,0,0,0
2013-10-16,0,0,151,0,3,141,0,3,1,1,1,0
2013-10-17,0,0,32,0,1,28,0,1,0,0,0,0
2013-10-18,0,0,192,104,10,68,0,10,0,0,0,0
2013-10-19,0,0,5,0,5,0,0,5,0,0,0,0
2013-10-20,0,0,5,0,5,0,0,5,0,0,0,0
2013-10-21,0,0,57,0,6,46,0,6,0,0,0,0
2013-10-22,0,0,108,0,5,99,0,5,0,0,0,0
2013-10-23,1,0,159,0,44,101,0,44,1,1,0,1
2013-10-24,0,0,14,0,14,0,0,14,0,0,0,0
2013-10-25,2,0,114,0,22,87,0,22,3,3,1,2
2013-10-26,0,0,42,0,9,30,0,9,0,0,0,0
2013-10-27,0,0,7,0,7,0,0,7,0,0,0,0
2013-10-28,1,0,37,0,7,27,6,1,4,2,3,1
2013-10-29,0,1,60,0,0,52,0,0,0,0,0,0
2013-10-30,0,0,33,0,3,26,0,3,0,0,0,0
2013-10-31,0,0,2,0,2,0,0,2,0,0,0,0
2013-11-01,0,0,40,0,0,38,0,0,0,0,0,0
2013-11-02,0,0,22,0,0,19,0,0,0,0,0,0
2013-11-03,0,0,1,0,1,0,0,1,0,0,0,0
2013-11-04,1,1,1543,1051,59,404,11,48,15,15,14,1
2013-11-05,0,0,666,536,3,120,0,3,4,3,4,0
2013-11-06,1,0,51,0,4,41,0,4,1,1,0,1
2013-11-07,0,0,1015,512,126,354,123,3,8,8,8,0
2013-11-08,2,0,747,638,19,83,12,7,9,8,7,2
2013-11-09,0,0,26,0,6,19,1,5,0,0,0,0
