Date,Tweets,Clicks,Mentions,New Followers,Retweets,Received Messages,Received DM,Sent DM,Unique Users,Followers,Following,Twitter Impressions,New Fans,Unlikes,Page Impressions,Page Impressions (Paid),Page Impressions (Viral),Page Impressions (Organic),Page Impressions (Fan),Stories Created,Story Creators,Stories (Page Post),Stories (Fan)
2013-10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,2,77,2,0,0,0,0
2013-10-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,4,47,4,0,0,0,0
2013-10-16,1,0,0,0,0,0,0,0,0,0,0,657,0,0,151,0,3,141,3,1,1,1,0
2013-10-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,1,28,1,0,0,0,0
2013-10-18,3,0,2,0,4,2,0,0,2,0,0,0,0,0,192,104,10,68,10,0,0,0,0
2013-10-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0
2013-10-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0
2013-10-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,6,46,6,0,0,0,0
2013-10-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,5,99,5,0,0,0,0
2013-10-23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,159,0,44,101,44,1,1,0,1
2013-10-24,0,0,0,1,0,0,0,0,0,657,836,0,0,0,14,0,14,0,14,0,0,0,0
2013-10-25,15,9,4,3,3,5,1,0,3,659,836,7743,2,0,114,0,22,87,22,3,3,1,2
2013-10-26,0,0,1,1,0,1,0,0,1,660,860,0,0,0,42,0,9,30,9,0,0,0,0
2013-10-27,0,0,0,1,0,0,0,0,0,660,860,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-28,10,1,7,1,1,7,0,0,4,659,860,3575,0,0,0,0,0,0,0,0,0,0,0
